epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,11197.8,0.36772,0.24303,0.84108,0.97224,0.94994,0.98442,0.85176,0.59651,0.26143,0.84567,0.00307,0.00307,0.00307
142,11277.5,0.36658,0.24126,0.84139,0.97203,0.9499,0.98425,0.85186,0.59625,0.26092,0.84587,0.0030205,0.0030205,0.0030205
143,11356.7,0.36953,0.24326,0.8397,0.97223,0.95034,0.98432,0.852,0.59656,0.26056,0.84586,0.002971,0.002971,0.002971
144,11436,0.3622,0.2386,0.83793,0.97262,0.95034,0.98432,0.85178,0.59589,0.26037,0.84573,0.0029215,0.0029215,0.0029215
145,11515.9,0.36066,0.2402,0.83912,0.97381,0.95081,0.98396,0.85176,0.59621,0.2603,0.84562,0.002872,0.002872,0.002872
146,11595.2,0.36278,0.23905,0.83891,0.97385,0.95044,0.98384,0.85173,0.59589,0.26011,0.84543,0.0028225,0.0028225,0.0028225
147,11674.7,0.36017,0.23997,0.83779,0.97368,0.95052,0.98379,0.85163,0.59558,0.25982,0.8454,0.002773,0.002773,0.002773
148,11753.6,0.3563,0.23733,0.8384,0.97298,0.95067,0.98379,0.85196,0.59492,0.25985,0.84529,0.0027235,0.0027235,0.0027235
149,11833.1,0.35461,0.2369,0.83808,0.97361,0.95029,0.98377,0.85164,0.59502,0.25971,0.84543,0.002674,0.002674,0.002674
150,11912.8,0.35758,0.23952,0.83821,0.97436,0.94976,0.98372,0.8514,0.59513,0.25977,0.84541,0.0026245,0.0026245,0.0026245
151,11992.3,0.35265,0.23534,0.83288,0.97437,0.94983,0.98372,0.85164,0.59487,0.2596,0.84537,0.002575,0.002575,0.002575
152,12071.5,0.35161,0.23379,0.83362,0.97401,0.94974,0.98374,0.85153,0.595,0.2596,0.8453,0.0025255,0.0025255,0.0025255
153,12150.8,0.35002,0.23324,0.83427,0.97391,0.94947,0.98373,0.852,0.59487,0.25952,0.8454,0.002476,0.002476,0.002476
154,12230.9,0.35325,0.23493,0.83753,0.97376,0.94971,0.98377,0.85163,0.59497,0.25956,0.8455,0.0024265,0.0024265,0.0024265
155,12310.2,0.34877,0.23222,0.83354,0.98074,0.94372,0.98389,0.85194,0.59506,0.25961,0.84543,0.002377,0.002377,0.002377
156,12391,0.3458,0.2314,0.83487,0.97442,0.94962,0.98397,0.85189,0.59465,0.25921,0.84545,0.0023275,0.0023275,0.0023275
157,12470,0.3454,0.22877,0.83204,0.97422,0.94946,0.98397,0.85176,0.5949,0.25911,0.84546,0.002278,0.002278,0.002278
158,12549.6,0.34384,0.2283,0.83397,0.97355,0.94935,0.98399,0.85213,0.59475,0.25904,0.84536,0.0022285,0.0022285,0.0022285
159,12629.4,0.33981,0.22561,0.83156,0.97409,0.94943,0.98402,0.85188,0.59494,0.25901,0.84527,0.002179,0.002179,0.002179
160,12708.6,0.34124,0.22679,0.83121,0.9754,0.94888,0.98391,0.85198,0.59451,0.25901,0.84528,0.0021295,0.0021295,0.0021295
